User,Tweet
OpIndia.com,"AIIMS doctor, who deliberately hid his coronavirus infection, used to visit a mosque daily, media spread fake news about him contracting virus from patients

https://t.co/fL5MFKv2lp"
MRCTV.org,"The liberal media want you to believe that the Trump administration didn't take the coronavirus outbreak seriously at first. 

Here's just a few examples of the liberal media doing exactly that. https://t.co/6jF7hPHU9K"
Shaquille Brewster,"JUST A SAMPLE of my conversations with voters at Riverside High School in Milwaukee.

Folks determined, but outraged that they’ve been forced out &amp; waiting for hours.

Many tell me they tried voting absentee, but for a variety of reasons, this became their only option. #COVID19 https://t.co/gme8s1bEzb"
Stephanie Ruhle,"THE LACK OF TRANSPARENCY AROUND TARP SPARKED HUGE PUBLIC OUTRAGE &amp; BIRTHED OCCUPY WALL ST.... THIS WILL BE MUCH WORSE 

Trump removes independent watchdog for coronavirus funds, upending oversight panel - POLITICO https://t.co/276ZJvxg9E"
Tom Newton Dunn,"Chris Whitty finally admits what no government minister has dared to on #Covid19 - Germany did what the UK should have done on mass testing: CMO: ""Germany got ahead on testing, and there's a lot to learn from that""."
Keith Boykin,"Corruption Alert! 🚨 🚨 🚨 

Trump removes Glenn Fine, the independent watchdog who was supposed to oversee the $2 trillion of coronavirus funds to make sure there was no corruption, fraud or waste. https://t.co/AXGUDuIJJY"
PoliticsVideoChannel,BREAKING: Trump just removed the independent watchdog charged with monitoring the coronavirus relief effort.
Stephen King,"LOVE IN THE TIME OF CORONAVIRUS: Snappy title, or too much?"
Ms. Krassenstein,"BREAKING:  Trump has fired the independent watchdog who was tasked with oversight of the $2 trillion coronavirus bill.

In other words, Trump doesn't want us to know where he sends this money!

We deserve to know where our tax dollars are going!
CONGRESS must act!

Who's with me?"
ABC News,"CORONAVIRUS LATEST: https://t.co/itvxvEjuWk

— U.S. death toll tops 11,000.
— New York death toll sees largest single-day jump.
— U.K. prime minister ""stable"" in ICU.
— U.S.'s largest Gothic cathedral to be converted into a hospital."
Nick Corasaniti,"I just spoke to a healthcare worker from Milwaukee, 34, who is 17 weeks pregnant, and has coronavirus. 

She requested an absentee ballot a week ago. It never came. 

She can't go out in public without putting others in danger. Now, she can't vote. 

https://t.co/zMmN2CmbF2"
Bill Kristol,"“We will not see diseases like the coronavirus come here.""
--The new White House press secretary, Kayleigh McEnany, Feb. 25, 2020.
""CDC Officials Warn of Coronavirus Outbreaks in the US.
Clusters of infection are likely in American communities.""
--NYTimes headline, Feb. 25, 2020."
Kyle Cheney,"@connorobrienNH NEW: Trump's unexpected replacement of the Pentagon's acting IG is his latets incursion on the community of independent federal watchdogs.

He removed the intel IG Friday night and has been attacking the HHS IG since yesterday. w/ @connorobrienNH

https://t.co/G2NipXmSGE"
Luis del Pino,"Me sugiere un oyente que todos pongamos como tuit fijado una bandera española con crespón negro, como homenaje y recuerdo a los miles de víctimas del coronavirus. Me parece buena idea. Procedo a hacerlo. https://t.co/J8KEZxTMAy"
Blake News,"BREAKING: Trump removes independent watchdog for coronavirus funds, upending oversight panel

https://t.co/W4RMaO9tgO"
The Daily Show,Did... did coronavirus write this? https://t.co/bEknCSSuTz
