User,Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
𝐋𝐀𝐍𝐀𝐓𝐀 𝐏𝐏𝐓 🌐,11.03.20 11:32,"Coronavirus: el segundo caso en Paraguay es de una persona que se contagió en Argentina, donde solo dicen que hay 19 casos. 
Se ponen en duda las cifras divulgadas por el gobierno Kirchnerista. 

Seria el 1er caso AUTOCTONO.",,https://www.twitter.com/user/status/1237702850697887744,1377,3162,192.68
Rafael Narbona,11.03.20 11:30,"¿Qué nos enseñó 'La peste', de Camus? Que las peores epidemias no son biológicas, sino morales. El coronavirus está sacando a la luz lo peor de nuestra sociedad: insolidaridad, egoísmo, inmadurez, irracionalidad. Conservar la calma en estas circunstancias es un imperativo ético. https://t.co/BqNC7oOPUY",,https://www.twitter.com/user/status/1237702480231882755,3080,5932,24.32
Josep Martí Blanch,11.03.20 11:30,"La foto de l'infermera italiana de l'hospital de Cremona, a l'epícentre del coronavirus, completament esgotada a punt d'acabar el torn de nit i que ha esdevingut símbol de l'abnegació dels professionals de la medicina durant aquests dies. Vagi també el reconeixmenet pels d'aquí. https://t.co/xRid6mjNDO",,https://www.twitter.com/user/status/1237702448212475907,1240,4006,29.8
Ya halo passwordnya,11.03.20 11:29,"Tadi siang keluar obrolan kalo pemerintah Indonesia nanganin Coronavirus kayak stereotip orangtua Jawa nanganin konflik keluarga. Jangan keliatan panik, anak-anak (alias rakyat) tau beres aja, kalau ada perubahan kebijakan anak-anak harus terima tanpa perlu tau alasannya.",,https://www.twitter.com/user/status/1237702305467617280,1459,2872,27.12
DW News,11.03.20 11:29,"Up to 70% of the population could be infected by the new #coronavirus, German Chancellor Angela Merkel told a press conference in Berlin, citing expert estimates. https://t.co/AAMnDGmceT",,https://www.twitter.com/user/status/1237702203294523392,1852,1632,948.05
Glauber Macario,11.03.20 11:29,"O UOL foi ouvir Ricardo Amorim, que previu o dólar a R$ 5 em caso de eleição do Haddad, para saber qual a justificativa dele para o cenário atual

Ele culpou guerra comercial China x EUA, conflito dos EUA com Irã e coronavírus. Por pouco, não culpou o BBB

https://t.co/mSyNntQpgU",,https://www.twitter.com/user/status/1237702133463552000,1468,7628,60.85
Diana Espindola,11.03.20 11:29,"Mi hija con coronavirus
25 años

Estoy muy triste😢

Es todo lo que voy a decir hoy en este espacio.",,https://www.twitter.com/user/status/1237702091382173696,1395,6221,13.13
Digital Sevilla,11.03.20 11:25,China envía a Italia a sus mejores expertos en epidemias para ayudar a combatir el coronavirus. El país asiático contribuye también con la donación de numeroso material médico y equipos de protección https://t.co/QXOHPZGaLC,,https://www.twitter.com/user/status/1237701072610828289,2626,5794,109.74
franceinfo,11.03.20 11:20,"Coronavirus : la Tunisie expulse 30 Italiens qui ont refusé le confinement

https://t.co/2UaAywB69Q https://t.co/AhPe4y3Ypr",,https://www.twitter.com/user/status/1237699791187890178,1391,2574,3996.22
The Spectator Index,11.03.20 11:19,JUST IN: Angela Merkel says that experts claim that between 60-70% of Germany's population could become infected by coronavirus.,,https://www.twitter.com/user/status/1237699665631399937,3469,7468,2598.05
